zip,values
98360,0.919632841228066
98390,1.14846032942662
98446,1.04610149645057
98438,0
98303,0.713825873697118
98286,0
98250,1.18188034188034
98255,0
98284,0.746153846153846
98292,1.0351058995651
98201,1.25130185041906
98272,1.17376192810621
98203,1.19452868234841
99217,0
99001,0
99021,0
99020,0
99157,0
98530,0
98225,0
99176,0
99102,0
98952,0
98951,0
98938,0
98929,0
99333,0
99401,0
99336,0
99338,0
98815,1.46153846153846
98847,0
98381,0
98603,0.768287924306779
98802,0
98823,0
98845,0
98541,0.72869577470923
98568,1.09375
98536,0
98253,1.17642140468227
98178,1.40416343272084
98057,1.69873577149117
98146,1.42856369719058
98125,1.63574644609693
98148,1.27340583607007
98031,1.26183131319541
98032,1.38280544651666
98133,1.70820987802574
98055,1.45730271353522
98101,2.67098692565486
98024,1.72798191055238
98380,1.04117574225376
98110,1.60016300742575
98315,0.896007428040854
98926,2.68251700680272
98943,0
98950,0
98565,0
98570,0.631476063158957
99147,0
98546,0.878658008658009
98855,0
99124,0
98631,0
99180,0
99009,0.81359649122807
99006,0
98402,1.43800597640522
98405,1.11431000592318
98467,1.09458364802406
98439,1.02091346153846
98422,1.0527873788646
98407,1.30797394079169
98499,1.06672519723762
98433,0
98430,0
98330,0
98273,1.07942077892437
98267,0
98257,0
98610,0
98036,1.33126297879363
98026,1.31418230920423
98294,1.26385431040531
98251,1.05567478498513
99016,0
99216,0
99005,0
99206,0
98512,0.973328780063129
99360,0
98244,1.1986301369863
98220,0.787406905890318
98262,0
98281,0.871032262888513
99158,0.779452054794521
99164,0
99169,0
99371,0
99337,0.758620689655172
99353,0
98801,0.970588235294118
98683,0
98607,0
99328,0.813582813582814
99115,0
98843,0
98830,0
99150,0
99343,0
98550,0.743729426015315
98126,1.88744105638877
98105,1.99040035017126
98116,2.02586057566319
98107,2.062581052586
98108,1.76513835266581
98004,2.091499888773
98038,1.14078731744239
98075,1.40415257741146
98014,1.62730436011068
98367,1.12142328511706
98314,0
98364,0
98940,0
98941,0
98602,0
98591,0.641127110453584
98355,0
99122,0
99117,0.733197556008147
98588,1.21455237470862
98592,0.532173848483568
98841,1.458
99153,0.668449197860963
98498,1.0617054040368
98408,0.999659500983148
98558,0
98333,1.35530514261283
98323,0.637254901960784
98233,0
98283,0
98648,0
98012,1.40143096798454
98021,1.352791581376
98271,1.07465467145444
99004,0
99224,0
99037,0
99151,0
99040,0
98502,1.07736466487089
98589,0.910597234122067
98612,0
99362,0
99329,0
98226,0
98230,1.252197463449
99111,0
99163,0
98923,0.811168258633358
98933,0
98902,0
98947,0
98935,0
99105,0
99403,0
99402,0
99350,0
98305,0
98362,1.5625
98604,0
99347,0
99348,0.808701657458563
98625,0
98813,0.795973154362416
98812,0
99133,0
99116,0
99138,0
98837,0
98569,0.745891203703704
98236,0.730461538461538
98249,1.001554001554
98239,0.838010827288342
98320,1.14414414414414
98365,1.00839140443059
98325,0
98104,2.49270825102173
98040,1.75004633484425
98045,1.31885440608943
98051,1
98047,1.09730394360419
98337,1.20232698248252
98392,0.916830934439035
98329,0.964874346061203
98925,0
98673,0
98531,0.762420724250781
98579,0.843873063975729
98582,0
99185,0
98548,0.764705882352941
98555,1.16666666666667
98859,0
98814,0.909090909090909
98846,0.753663642707606
98373,1.08460322261743
98372,1.11244413423663
98374,0.980383861653001
98387,0.902023655750016
98321,1.02242991325402
98580,0.82484356450856
98338,0.898996017342253
98327,1.22832756020735
98351,1.19370464613962
98222,0
98639,0
98020,1.55753765809355
98256,0
99212,0
