STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10
53,98572,5398572,B5,G6350,S,89608676,363560,+46.5463376,-123.3140839,N
53,98542,5398542,B5,G6350,S,35204952,0,+46.5252031,-122.7906318,N
53,99134,5399134,B5,G6350,S,555495051,1186480,+47.3981038,-118.2776664,N
53,99144,5399144,B5,G6350,S,87820793,0,+47.3777493,-118.5042905,N
53,98560,5398560,B5,G6350,S,149261191,96337,+47.3023496,-123.4258055,N
53,98862,5398862,B5,G6350,S,1160184395,2481634,+48.6027341,-120.3205295,N
53,98840,5398840,B5,G6350,S,1081267659,16015033,+48.3151294,-119.5799422,N
53,98577,5398577,B5,G6350,S,991184568,25952383,+46.6418486,-123.6103887,N
53,98590,5398590,B5,G6350,S,7980778,12070388,+46.7078729,-123.9985284,N
53,98638,5398638,B5,G6350,S,437297731,47861244,+46.3940461,-123.7613072,N
53,98641,5398641,B5,G6350,S,106518,0,+46.5464156,-124.0299364,N
53,99152,5399152,B5,G6350,S,12086183,989421,+48.8445743,-117.3967990,N
53,98466,5398466,B5,G6350,S,15460766,2149972,+47.2260504,-122.5394353,N
53,98424,5398424,B5,G6350,S,16337139,368362,+47.2353414,-122.3541919,N
53,98403,5398403,B5,G6350,S,2842069,0,+47.2659655,-122.4585317,N
53,98375,5398375,B5,G6350,S,25169192,4691,+47.1037830,-122.3229780,N
53,98261,5398261,B5,G6350,S,77211492,63717718,+48.4824920,-122.8839593,N
53,98243,5398243,B5,G6350,S,13302672,26163547,+48.6089779,-123.0036538,N
53,98237,5398237,B5,G6350,S,827707761,36482282,+48.5662717,-121.6892246,N
53,98238,5398238,B5,G6350,S,563363,0,+48.3353893,-122.3446201,N
53,98275,5398275,B5,G6350,S,19768770,2592435,+47.9165143,-122.3034358,N
53,98258,5398258,B5,G6350,S,74699782,4681283,+48.0441992,-122.0768759,N
53,98290,5398290,B5,G6350,S,306698662,7381221,+47.9556025,-121.9864720,N
53,99205,5399205,B5,G6350,S,23202063,257469,+47.6968247,-117.4448789,N
53,99011,5399011,B5,G6350,S,16913880,0,+47.6188317,-117.6481585,N
53,99223,5399223,B5,G6350,S,74148973,33887,+47.5894070,-117.3446228,N
53,99023,5399023,B5,G6350,S,35338077,0,+47.5610835,-117.1717836,N
53,99030,5399030,B5,G6350,S,203036631,0,+47.4840751,-117.1102025,N
53,99148,5399148,B5,G6350,S,149958527,9189299,+48.1004697,-117.5970036,N
53,99129,5399129,B5,G6350,S,401280270,31940806,+48.0152531,-118.1926667,N
53,98501,5398501,B5,G6350,S,89203449,3336872,+46.9745035,-122.8759870,N
53,98503,5398503,B5,G6350,S,29227044,2501089,+47.0220323,-122.7971033,N
53,98248,5398248,B5,G6350,S,183462686,5975845,+48.8644194,-122.6194193,N
53,98240,5398240,B5,G6350,S,53583344,57318,+48.9482253,-122.6206841,N
53,99174,5399174,B5,G6350,S,348107,0,+47.0105623,-117.3586869,N
53,98936,5398936,B5,G6350,S,366600477,961913,+46.5382118,-120.1437001,N
53,98921,5398921,B5,G6350,S,326160,0,+46.4311023,-120.3188169,N
53,99346,5399346,B5,G6350,S,325438409,12782510,+45.9976208,-119.2992929,N
53,98826,5398826,B5,G6350,S,2631314141,20723176,+47.7831453,-120.8431675,N
53,98831,5398831,B5,G6350,S,121577832,19050001,+47.9594720,-120.1028729,N
53,98363,5398363,B5,G6350,S,1639355751,27831088,+48.0027435,-123.8208473,N
53,98661,5398661,B5,G6350,S,27512147,1847074,+45.6400665,-122.6250179,N
53,98664,5398664,B5,G6350,S,13615216,771148,+45.6195097,-122.5771791,N
53,98601,5398601,B5,G6350,S,176749082,16569909,+45.9434390,-122.3625163,N
53,98606,5398606,B5,G6350,S,96898263,0,+45.7297408,-122.4563727,N
53,98611,5398611,B5,G6350,S,322678040,4431420,+46.3051380,-122.9006878,N
53,98645,5398645,B5,G6350,S,38597644,6444103,+46.3318658,-122.7600814,N
53,99146,5399146,B5,G6350,S,120444658,0,+48.9575480,-118.2975203,N
53,99349,5399349,B5,G6350,S,695197271,29598079,+46.7311905,-119.7005794,N
53,98832,5398832,B5,G6350,S,517811402,522220,+47.3716297,-119.0242486,N
53,98853,5398853,B5,G6350,S,20248632,5466158,+47.4600067,-119.2638905,N
53,98537,5398537,B5,G6350,S,501254041,249399,+46.8323998,-123.5974660,N
53,98563,5398563,B5,G6350,S,946982315,15852662,+47.1935985,-123.6153705,N
53,98595,5398595,B5,G6350,S,14137875,8999831,+46.8880363,-124.1133753,N
53,98587,5398587,B5,G6350,S,74150653,8075884,+47.3086814,-124.2019242,N
53,98358,5398358,B5,G6350,S,27655236,8913203,+48.0637958,-122.7131629,N
53,98092,5398092,B5,G6350,S,115596899,1840608,+47.2902865,-122.1268736,N
53,98166,5398166,B5,G6350,S,14685852,4037490,+47.4515760,-122.3529856,N
53,98155,5398155,B5,G6350,S,19604378,1713431,+47.7544130,-122.3004769,N
53,98106,5398106,B5,G6350,S,14236532,841740,+47.5440342,-122.3498743,N
53,98168,5398168,B5,G6350,S,23030102,426890,+47.4895690,-122.2999597,N
53,98158,5398158,B5,G6350,S,5726911,0,+47.4496701,-122.3076429,N
53,98074,5398074,B5,G6350,S,27654818,4010174,+47.6225418,-122.0442099,N
53,98033,5398033,B5,G6350,S,24062601,4422742,+47.6759816,-122.1935779,N
53,98072,5398072,B5,G6350,S,46958893,70284,+47.7607851,-122.1305312,N
53,98005,5398005,B5,G6350,S,19429635,18305,+47.6145328,-122.1687977,N
53,98059,5398059,B5,G6350,S,51737366,147702,+47.4996765,-122.1132908,N
53,98008,5398008,B5,G6350,S,14250591,7369624,+47.6057966,-122.0991177,N
53,98053,5398053,B5,G6350,S,73465062,461728,+47.6693116,-122.0101310,N
53,98029,5398029,B5,G6350,S,23189927,42596,+47.5570850,-122.0077482,N
53,98224,5398224,B5,G6350,S,510454144,9775389,+47.5958137,-121.4709101,N
53,98068,5398068,B5,G6350,S,687680542,30965563,+47.4319181,-121.3740615,N
53,98312,5398312,B5,G6350,S,159168131,15104140,+47.5808482,-122.7843688,N
53,98311,5398311,B5,G6350,S,28116579,9526971,+47.6311965,-122.6310170,N
53,98528,5398528,B5,G6350,S,189011920,33451257,+47.4430799,-122.9013313,N
53,98346,5398346,B5,G6350,S,71464150,13013821,+47.8210692,-122.5255263,N
53,98628,5398628,B5,G6350,S,22971960,0,+45.8878533,-121.0819478,N
53,98564,5398564,B5,G6350,S,363144019,24246406,+46.4494770,-122.4196501,N
53,98593,5398593,B5,G6350,S,34719238,110619,+46.4026825,-123.0100609,N
53,99008,5399008,B5,G6350,S,336029875,158055,+47.5033350,-117.9334378,N
53,99154,5399154,B5,G6350,S,47728271,0,+47.3897335,-118.3659254,N
53,98584,5398584,B5,G6350,S,883190500,93758883,+47.2374481,-123.1458116,N
53,98524,5398524,B5,G6350,S,36969791,6102743,+47.3547923,-122.8623265,N
53,98844,5398844,B5,G6350,S,856254904,16498656,+48.9272801,-119.2279523,N
53,98829,5398829,B5,G6350,S,178304282,767839,+48.2972590,-119.8055602,N
53,98849,5398849,B5,G6350,S,397586050,2500306,+48.5409901,-119.4095229,N
53,98624,5398624,B5,G6350,S,87794909,58059369,+46.3514313,-123.9922094,N
53,98418,5398418,B5,G6350,S,4359597,0,+47.2232292,-122.4465226,N
53,98388,5398388,B5,G6350,S,23145675,30645173,+47.2097395,-122.6844223,N
53,98332,5398332,B5,G6350,S,54162176,8478824,+47.3724950,-122.5958275,N
53,98229,5398229,B5,G6350,S,127275005,13232957,+48.6961272,-122.4135381,N
53,98651,5398651,B5,G6350,S,46239026,4718695,+45.7399243,-121.5834618,N
53,98205,5398205,B5,G6350,S,49040504,6324341,+47.9884981,-122.1501882,N
53,98208,5398208,B5,G6350,S,41918895,587506,+47.9017787,-122.1871438,N
53,98296,5398296,B5,G6350,S,88264899,1683406,+47.8390660,-122.1011133,N
53,98270,5398270,B5,G6350,S,37060532,442210,+48.0567229,-122.1469044,N
53,98252,5398252,B5,G6350,S,692257955,5334212,+48.0725605,-121.6896057,N
53,98223,5398223,B5,G6350,S,827807585,4386628,+48.2166876,-121.9521850,N
53,98207,5398207,B5,G6350,S,575949,210069,+47.9877204,-122.2233071,N
53,99022,5399022,B5,G6350,S,178670710,4653443,+47.5997801,-117.7089846,N
53,99202,5399202,B5,G6350,S,15905932,253367,+47.6574968,-117.3789698,N
53,99218,5399218,B5,G6350,S,18938894,2941,+47.7589243,-117.4093878,N
53,99039,5399039,B5,G6350,S,11614539,0,+47.3446522,-117.2655853,N
53,99018,5399018,B5,G6350,S,90604171,0,+47.2897922,-117.1548526,N
53,99027,5399027,B5,G6350,S,39071861,345322,+47.7101277,-117.1275601,N
53,99036,5399036,B5,G6350,S,105892139,0,+47.5252920,-117.2759149,N
53,99019,5399019,B5,G6350,S,56625159,3130452,+47.6431746,-117.0756196,N
53,99026,5399026,B5,G6350,S,183608637,12617332,+47.8113450,-117.6265399,N
53,99101,5399101,B5,G6350,S,283615030,224984,+48.3203076,-117.9206595,N
53,99126,5399126,B5,G6350,S,134526214,470353,+48.7313638,-117.9721464,N
53,99167,5399167,B5,G6350,S,161526113,7259721,+48.4192313,-118.1209847,N
53,99137,5399137,B5,G6350,S,208452272,99613,+48.1479465,-118.1149556,N
53,98597,5398597,B5,G6350,S,289029254,9599115,+46.8444258,-122.4928042,N
53,98576,5398576,B5,G6350,S,182880852,2457367,+46.8371519,-122.6383563,N
53,99324,5399324,B5,G6350,S,7898067,0,+46.0425780,-118.3868452,N
53,99363,5399363,B5,G6350,S,115344124,34023825,+46.0604406,-118.8835356,N
53,98266,5398266,B5,G6350,S,62038225,735181,+48.9639700,-122.1226658,N
53,99113,5399113,B5,G6350,S,248083935,7186622,+46.5934897,-117.1897822,N
53,98953,5398953,B5,G6350,S,163160443,0,+46.4422907,-120.2268143,N
53,98857,5398857,B5,G6350,S,421950818,5410856,+46.9851350,-119.0525626,N
53,99326,5399326,B5,G6350,S,706863737,4011557,+46.6500823,-118.8533492,N
53,99345,5399345,B5,G6350,S,473108439,57361225,+45.9522160,-119.7076696,N
